# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 18.63   -1.282E-05    4.076E-07   -6.352E-06    6.053E-08    3.225E-07 
 18.71   -1.249E-05    3.844E-07   -6.173E-06    7.041E-08    3.275E-07 
 18.78   -1.217E-05    3.620E-07   -6.004E-06    8.005E-08    3.326E-07 
 18.86   -1.186E-05    3.400E-07   -5.842E-06    8.939E-08    3.382E-07 
 18.94   -1.155E-05    3.181E-07   -5.686E-06    9.838E-08    3.443E-07 
 19.01   -1.126E-05    2.961E-07   -5.536E-06    1.070E-07    3.510E-07 
 19.09   -1.098E-05    2.741E-07   -5.390E-06    1.150E-07    3.584E-07 
 19.16   -1.070E-05    2.520E-07   -5.254E-06    1.226E-07    3.664E-07 
 19.24   -1.044E-05    2.299E-07   -5.117E-06    1.295E-07    3.750E-07 
 19.31   -1.019E-05    2.080E-07   -4.991E-06    1.357E-07    3.841E-07 
 19.39   -9.938E-06    1.864E-07   -4.864E-06    1.411E-07    3.934E-07 
 19.46   -9.700E-06    1.653E-07   -4.744E-06    1.457E-07    4.030E-07 
 19.54   -9.468E-06    1.447E-07   -4.627E-06    1.495E-07    4.125E-07 
 19.62   -9.243E-06    1.248E-07   -4.513E-06    1.524E-07    4.217E-07 
 19.69   -9.025E-06    1.057E-07   -4.399E-06    1.545E-07    4.305E-07 
 19.77   -8.810E-06    8.735E-08   -4.292E-06    1.557E-07    4.386E-07 
 19.84   -8.606E-06    6.973E-08   -4.185E-06    1.560E-07    4.458E-07 
 19.92   -8.404E-06    5.271E-08   -4.081E-06    1.557E-07    4.519E-07 
 19.99   -8.206E-06    3.613E-08   -3.977E-06    1.546E-07    4.565E-07 
 20.07   -8.014E-06    1.977E-08   -3.876E-06    1.529E-07    4.593E-07 
 20.14   -7.825E-06    3.410E-09   -3.775E-06    1.508E-07    4.606E-07 
 20.22   -7.643E-06   -1.318E-08   -3.678E-06    1.483E-07    4.597E-07 
 20.30   -7.465E-06   -3.018E-08   -3.584E-06    1.456E-07    4.570E-07 
 20.37   -7.286E-06   -4.771E-08   -3.490E-06    1.428E-07    4.522E-07 
 20.45   -7.114E-06   -6.583E-08   -3.395E-06    1.400E-07    4.453E-07 
 20.52   -6.949E-06   -8.454E-08   -3.308E-06    1.375E-07    4.365E-07 
 20.60   -6.784E-06   -1.037E-07   -3.219E-06    1.354E-07    4.260E-07 
 20.67   -6.622E-06   -1.231E-07   -3.134E-06    1.339E-07    4.142E-07 
 20.75   -6.466E-06   -1.423E-07   -3.052E-06    1.331E-07    4.015E-07 
 20.82   -6.311E-06   -1.610E-07   -2.973E-06    1.331E-07    3.883E-07 
 20.90   -6.162E-06   -1.784E-07   -2.897E-06    1.343E-07    3.754E-07 
 20.98   -6.020E-06   -1.940E-07   -2.825E-06    1.367E-07    3.633E-07 
 21.05   -5.878E-06   -2.069E-07   -2.757E-06    1.404E-07    3.528E-07 
